"%C2%BFC%C3%B3mo_Te_Llama%3F#1","0","http://dbpedia.org/ontology/Single"
"%C3%81gnes_Sipka#0","1","http://dbpedia.org/ontology/MotorsportSeason http://dbpedia.org/ontology/Event"
"%22Prosopa%22_Greek_Television_Awards#2","2","http://dbpedia.org/ontology/TelevisionShow http://dbpedia.org/ontology/Work"
"%C3%84ngelholm%E2%80%93Helsingborg_Airport#0","0","http://dbpedia.org/ontology/Airline http://dbpedia.org/ontology/Company http://dbpedia.org/ontology/Organisation"
"%C3%81ngel_Di_Mar%C3%ADa#1","0","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"%C3%89ver_Alfaro#0","3","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"%C3%89ver_Alfaro#0","6","http://dbpedia.org/ontology/MusicalArtist http://dbpedia.org/ontology/Person"
"%C3%8Ele-de-France#Grande_Couronne#0","0","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"%C3%89velyne_Brochu#3","3","http://dbpedia.org/ontology/Film http://dbpedia.org/ontology/Work"
"%C3%81ntony_de_%C3%81vila#0","3","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1._Rugby_Bundesliga#2","0","http://dbpedia.org/ontology/City http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"%C3%9Ajpesti_TE_(fencing)#1","2","http://dbpedia.org/ontology/Athlete http://dbpedia.org/ontology/Person"
"%C5%81eba_railway_station#0","0","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement http://dbpedia.org/ontology/Village"
"007_Racing#0","0","http://dbpedia.org/ontology/Person"
"%C3%96mer_Toprak#0","2","http://dbpedia.org/ontology/Organisation http://dbpedia.org/ontology/SoccerLeague http://dbpedia.org/ontology/SportsLeague"
"1","0","http://dbpedia.org/ontology/Person"
"1","1","http://dbpedia.org/ontology/Person"
"1","2","http://dbpedia.org/ontology/EthnicGroup http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Person http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1","3","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"%C3%93scar_Rivas#0","2","http://dbpedia.org/ontology/Person"
"1002","0","http://dbpedia.org/ontology/Automobile http://dbpedia.org/ontology/MeanOfTransportation"
"1002","1","http://dbpedia.org/ontology/Person"
"1002","2","http://dbpedia.org/ontology/Automobile http://dbpedia.org/ontology/MeanOfTransportation"
"1003","0","http://dbpedia.org/ontology/Automobile http://dbpedia.org/ontology/MeanOfTransportation"
"1003","1","http://dbpedia.org/ontology/Person"
"1003","2","http://dbpedia.org/ontology/Automobile http://dbpedia.org/ontology/MeanOfTransportation"
"1001","0","http://dbpedia.org/ontology/Person"
"1001","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
"1001","2","http://dbpedia.org/ontology/Country http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace"
"1004","0","http://dbpedia.org/ontology/Person"
"1004","1","http://dbpedia.org/ontology/Place http://dbpedia.org/ontology/PopulatedPlace http://dbpedia.org/ontology/Settlement"
